trial_number,param_alpha,cv_bal_accs,cv_macro_f1s,cv_macro_aucs,cv_total_scores,mean_bal_acc,mean_macro_f1,mean_macro_auc,mean_total_score,std_total_score
67,0.00010182871790765748,"[0.9118229284956085, 0.9090894480329779, 0.9299313502570766, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8770589464359514, 0.8949317884584751, 0.8528437850212955]","[0.999758147498434, 0.9996680969183669, 0.9998570915729657, 0.9998472510343746, 0.9997722229452788]","[2.770898200751867, 2.7803203385055664, 2.806847388265994, 2.843784904470359, 2.734485548558026]",0.9163438264709247,0.8711428876455536,0.999780561993884,2.787267276110362,0.03655062363640844
68,0.00029118752280730633,"[0.9118170095846883, 0.908895962430198, 0.9297408298810355, 0.9489569872679584, 0.8811637925618702]","[0.8582564426695426, 0.8634649095981599, 0.869995384786071, 0.8895289081668569, 0.8473935389348121]","[0.9997543149158628, 0.9996643160263939, 0.9998552331534418, 0.9998459468029911, 0.9997653670976857]","[2.769827767170094, 2.772025188054752, 2.799591447820548, 2.8383318422378063, 2.728322698594368]",0.91611491634515,0.8657278368310883,0.9997770355992751,2.781619788775514,0.03636186324998103
69,2.36489728532158,"[0.7494961104144109, 0.7613726026463875, 0.7624482891042099, 0.7532662053537653, 0.7623266473400541]","[0.7279838935903044, 0.7327385715532908, 0.7389601897113163, 0.7211928459088697, 0.734984207360316]","[0.9960786394589377, 0.9900010097148175, 0.9963479847038021, 0.9971644960938876, 0.988565881149747]","[2.4735586434636527, 2.4841121839144957, 2.4977564635193286, 2.4716235473565225, 2.485876735850117]",0.7577819709717655,0.7311719416248195,0.9936316022242384,2.4825855148208236,0.00943365969266663
70,0.00010355799783133265,"[0.9118229284956085, 0.9090894480329779, 0.9299313502570766, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8770589464359514, 0.8949317884584751, 0.8528437850212955]","[0.9997581113120174, 0.9996679817893055, 0.9998570559895594, 0.9998472443775277, 0.9997722113810572]","[2.7708981645654505, 2.780320223376505, 2.8068473526825874, 2.843784897813512, 2.7344855369938044]",0.9163438264709247,0.8711428876455536,0.9997805209698936,2.7872672350863716,0.03655062872283115
71,0.00010104779021419795,"[0.9118229284956085, 0.9090894480329779, 0.9299313502570766, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8770589464359514, 0.8949317884584751, 0.8528437850212955]","[0.9997581490706267, 0.9996680993204273, 0.9998570936067118, 0.9998472519377044, 0.9997722240833816]","[2.7708982023240596, 2.7803203409076267, 2.80684739029974, 2.8437849053736888, 2.734485549696129]",0.9163438264709247,0.8711428876455536,0.9997805636037704,2.787267277720249,0.036550623572834666
72,0.00016965692372237384,"[0.9118199690401484, 0.9089418804654104, 0.9298514301771565, 0.9489569872679584, 0.8812515975400312]","[0.8590646549173506, 0.8669872407416318, 0.872826473585429, 0.8895289081668569, 0.8488381302955885]","[0.9997569214827994, 0.9996659652632122, 0.9998560842245406, 0.999846744665126, 0.9997694504317305]","[2.7706415454402986, 2.7755950864702545, 2.8025339879871263, 2.8383326400999414, 2.7298591782673505]",0.916164372898141,0.8674490815413713,0.9997790332134817,2.783392487652994,0.03598338114249553
73,0.0002569189327529013,"[0.9118170095846883, 0.9088989214478042, 0.9297437882421035, 0.9489569872679584, 0.8811637925618702]","[0.8582564426695426, 0.8637809799229009, 0.8724675978207037, 0.8895289081668569, 0.8473935389348121]","[0.9997545518197921, 0.999664513087959, 0.9998552640819244, 0.9998461213757472, 0.9997656637858018]","[2.7698280040740233, 2.772344414458664, 2.8020666501447318, 2.8383320168105626, 2.728322995282484]",0.9161160998208848,0.8662854935029631,0.9997772228302448,2.7821788161540932,0.03660168122451218
74,0.00015356602743638866,"[0.9118199690401484, 0.9089818804654104, 0.9298514301771565, 0.9489629057409924, 0.8812917179011144]","[0.8590646549173506, 0.8673466932270497, 0.872826473585429, 0.8902454360004478, 0.8495252285721985]","[0.9997571674756025, 0.9996668678231049, 0.9998562662139365, 0.9998469209866933, 0.9997699270638263]","[2.7706417914331016, 2.775995441515565, 2.8025341699765223, 2.8390552627281336, 2.7305868735371392]",0.9161815806649644,0.8678016972604953,0.9997794299126326,2.7837627078380924,0.03597163505907668
75,0.0006010143494782275,"[0.9117450675845363, 0.908895962430198, 0.9296579514400473, 0.9488115596108478, 0.8810920738863517]","[0.8575053160113429, 0.863162469135313, 0.8643364175017129, 0.886758629591094, 0.8468767909268259]","[0.9997520534948763, 0.9996615051087631, 0.9998537029626704, 0.9998436607338096, 0.9997606376268701]","[2.7690024370907556, 2.771719936674274, 2.7938480719044305, 2.8354138499357515, 2.727729502440048]",0.9160405229903963,0.8637279246332576,0.9997743119853979,2.779542759609052,0.03516569143378948
76,0.0002796712441261705,"[0.9118170095846883, 0.908895962430198, 0.9297437882421035, 0.9489569872679584, 0.8811637925618702]","[0.8582564426695426, 0.8634649095981599, 0.8721786918623189, 0.8895289081668569, 0.8473935389348121]","[0.9997543670884723, 0.9996644153242777, 0.9998552452000385, 0.9998461024625936, 0.9997655157825645]","[2.7698278193427033, 2.7720252873526356, 2.801777725304461, 2.838331997897409, 2.7283228472792467]",0.9161155080173635,0.8661644982463381,0.9997771291715895,2.782057135435291,0.0365877839766253
77,0.00039504400683235315,"[0.9117450675845363, 0.908895962430198, 0.9296979114800074, 0.9488145188473648, 0.8810920738863517]","[0.8577268296671476, 0.8634649095981599, 0.8646387701441454, 0.8867654719052208, 0.8468767909268259]","[0.9997535921044169, 0.9996630593570185, 0.9998542172689294, 0.999845078460115, 0.9997631233822488]","[2.769225489356101, 2.7720239313853763, 2.794190898893082, 2.8354250692127008, 2.7277319881954263]",0.9160491068456917,0.8638945544482999,0.9997758141145457,2.7797194754085375,0.03516981446228572
78,0.00010384518159864643,"[0.9118229284956085, 0.9090894480329779, 0.9299313502570766, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8770589464359514, 0.8949317884584751, 0.8528437850212955]","[0.9997581127804444, 0.999667980325123, 0.9998570561894756, 0.9998472443775276, 0.9997722109465884]","[2.7708981660338776, 2.7803202219123224, 2.8068473528825035, 2.843784897813512, 2.7344855365593355]",0.9163438264709247,0.8711428876455536,0.9997805209238319,2.78726723504031,0.036550628793863005
79,0.00010019314996034275,"[0.9118229284956085, 0.9090894480329779, 0.9299713102970366, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8774160782953234, 0.8949317884584751, 0.8528437850212955]","[0.9997581951016394, 0.9996681007846098, 0.9998570942170101, 0.9998472533099734, 0.9997722252214843]","[2.7708982483550724, 2.7803203423718093, 2.80724448280937, 2.8437849067459577, 2.7344855508342314]",0.9163518184789167,0.871214314017428,0.9997805737269434,2.787346706223288,0.036593483834115974
80,0.0001544111148491731,"[0.9118199690401484, 0.9089818804654104, 0.9298514301771565, 0.9489629057409924, 0.8812917179011144]","[0.8590646549173506, 0.8673466932270497, 0.872826473585429, 0.8902454360004478, 0.8495252285721985]","[0.999757166241645, 0.9996668677540061, 0.9998562642147736, 0.9998468104331762, 0.9997699243877729]","[2.7706417901991442, 2.775995441446466, 2.802534167977359, 2.8390551521746166, 2.730586870861086]",0.9161815806649644,0.8678016972604953,0.9997794066062747,2.7837626845317347,0.03597160174792524
81,0.00014159268775956147,"[0.9118199690401484, 0.9090494480329779, 0.9298514301771565, 0.9489629057409924, 0.8817623061364085]","[0.8590646549173506, 0.8673828090948267, 0.872826473585429, 0.8902454360004478, 0.852431399324523]","[0.9997573741048806, 0.9996672816996434, 0.9998565089603245, 0.9998470553722051, 0.9997707883374629]","[2.7706419980623798, 2.776099538827448, 2.80253441272291, 2.839055397113645, 2.7339644937983945]",0.9162892118255368,0.8683901545845154,0.9997798016949032,2.7844591681049553,0.03497991541709808
82,0.00020995319177448843,"[0.9118170095846883, 0.9089389214478042, 0.9298114701371964, 0.9489569872679584, 0.8811683971434289]","[0.8582564426695426, 0.8641286072226151, 0.8725039520080293, 0.8895289081668569, 0.8478870979544331]","[0.9997564788183888, 0.9996652374329399, 0.9998558024742357, 0.9998463956997385, 0.9997676029236524]","[2.7698299310726195, 2.772732766103359, 2.802171224619461, 2.838332291134554, 2.7288230980215147]",0.9161385571162152,0.8664610016042953,0.999778303469791,2.7823778621903017,0.036445209654395745
83,0.00010192699157437109,"[0.9118229284956085, 0.9090894480329779, 0.9299313502570766, 0.9490058649775094, 0.8818695405914515]","[0.8593171247578245, 0.8715627935542216, 0.8770589464359514, 0.8949317884584751, 0.8528437850212955]","[0.999758147498434, 0.9996680969183669, 0.9998570915729657, 0.9998472510343746, 0.9997722224761894]","[2.770898200751867, 2.7803203385055664, 2.806847388265994, 2.843784904470359, 2.7344855480889363]",0.9163438264709247,0.8711428876455536,0.999780561900066,2.7872672760165442,0.03655062377188827
84,0.0003161972879500476,"[0.9118170095846883, 0.908895962430198, 0.9297378715199675, 0.9489523853351466, 0.8811637925618702]","[0.8582564426695426, 0.8634649095981599, 0.8670848048722126, 0.888993850880937, 0.8473935389348121]","[0.9997541203003909, 0.9996637989654719, 0.9998548062422503, 0.9998456295024202, 0.999765039084508]","[2.7698275725546218, 2.77202467099383, 2.7966774826344305, 2.8377918657185037, 2.72832237058119]",0.9161134042863741,0.8650387093911329,0.9997766788190082,2.7809287924965154,0.03592042991940762
